height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
198,99,*,1993,*,*,*,*,2017,24,22.0,0.0,163.0,8.4,5.4,20.9,12.8,8.0,28.0,36.0,48.0,0,1
213,124,*,1986,*,*,*,*,2010,23,56.0,2.0,865.0,14.0,1.5,9.7,5.6,12.0,76.0,88.0,410.0,0,1
213,124,*,1986,*,*,*,*,2011,24,50.0,0.0,795.0,10.7,2.3,7.8,5.0,16.0,56.0,72.0,323.0,1,1
213,124,*,1986,*,*,*,*,2012,25,44.0,1.0,568.0,11.5,2.6,9.4,6.0,13.0,48.0,61.0,172.0,2,2
213,124,*,1986,*,*,*,*,2013,26,57.0,22.0,1278.0,12.4,1.7,8.2,4.9,20.0,94.0,114.0,441.0,3,3
213,124,*,1986,*,*,*,*,2014,27,28.0,0.0,99.0,9.7,1.1,10.2,5.5,1.0,9.0,10.0,44.0,4,1
213,124,*,1986,*,*,*,*,2015,28,26.0,0.0,324.0,12.0,2.1,8.9,5.6,6.0,26.0,32.0,133.0,5,1
183,73,*,1985,*,*,*,*,2010,25,82.0,82.0,2919.0,16.0,2.0,6.6,4.2,54.0,161.0,215.0,1604.0,2,1
183,73,*,1985,*,*,*,*,2011,26,59.0,12.0,1284.0,13.1,1.8,5.2,3.5,20.0,58.0,78.0,634.0,3,1
183,73,*,1985,*,*,*,*,2013,28,46.0,20.0,959.0,12.1,1.4,8.1,4.7,12.0,66.0,78.0,366.0,5,2
183,73,*,1985,*,*,*,*,2014,29,43.0,0.0,716.0,11.9,3.8,5.7,4.8,23.0,39.0,62.0,299.0,6,2
183,73,*,1985,*,*,*,*,2015,30,82.0,21.0,1885.0,14.4,1.9,7.5,4.8,32.0,134.0,166.0,954.0,7,1
183,73,*,1985,*,*,*,*,2016,31,69.0,0.0,1108.0,11.8,2.0,7.5,4.8,21.0,80.0,101.0,491.0,8,2
183,73,*,1985,*,*,*,*,2017,32,65.0,0.0,894.0,9.5,2.3,6.3,4.3,18.0,51.0,69.0,322.0,9,2
