height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
"(191, 203]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(23, 29]",23.0,0.0,166.0,7.6,6.0,16.2,12.0,7.0,28.0,35.0,47.0,"(-1, 5]",1
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",56.0,0.0,864.0,14.4,0.2,8.5,5.3,20.0,73.0,90.0,406.0,"(-1, 5]",1
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",49.0,3.0,794.0,12.1,2.4,7.9,4.5,10.0,56.0,72.0,322.0,"(-1, 5]",1
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",42.0,0.0,567.0,11.0,4.4,9.5,3.3,14.0,53.0,60.0,170.0,"(-1, 5]",2
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",57.0,23.0,1279.0,12.2,2.6,5.4,5.7,20.0,93.0,115.0,443.0,"(-1, 5]",3
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",37.0,0.0,98.0,10.1,0.0,13.0,1.6,2.0,9.0,3.0,46.0,"(-1, 5]",1
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",27.0,0.0,312.0,13.8,0.0,10.1,2.7,8.0,22.0,32.0,132.0,"(-1, 5]",1
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",82.0,85.0,2921.0,8.8,1.5,3.8,8.6,55.0,152.0,219.0,1603.0,"(-1, 5]",1
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",60.0,13.0,1285.0,13.0,0.0,2.6,8.2,24.0,58.0,77.0,628.0,"(-1, 5]",1
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",52.0,15.0,962.0,13.3,7.6,8.0,5.4,10.0,65.0,76.0,364.0,"(-1, 5]",2
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",39.0,0.0,717.0,8.0,3.9,5.0,4.3,23.0,35.0,61.0,299.0,"(5, 11]",2
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",81.0,19.0,1886.0,10.2,3.2,8.8,8.2,34.0,133.0,170.0,955.0,"(5, 11]",1
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",67.0,0.0,1108.0,6.4,2.3,7.8,5.7,21.0,79.0,101.0,491.0,"(5, 11]",2
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",65.0,0.0,896.0,11.3,2.1,6.7,2.5,16.0,51.0,71.0,323.0,"(5, 11]",2
"(203, 215]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",48.0,4.0,797.0,7.8,7.7,19.4,10.6,45.0,121.0,170.0,247.0,"(-1, 5]",2
"(203, 215]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",77.0,37.0,1864.0,18.4,7.4,25.9,13.9,155.0,350.0,506.0,719.0,"(-1, 5]",2
"(203, 215]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",78.0,72.0,2295.0,11.8,11.5,16.8,8.5,118.0,285.0,404.0,1020.0,"(-1, 5]",2
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",31.0,0.0,312.0,12.9,17.5,19.2,26.2,43.0,60.0,105.0,105.0,"(-1, 5]",1
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",42.0,9.0,534.0,15.5,14.3,23.1,18.9,60.0,107.0,170.0,126.0,"(-1, 5]",1
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",48.0,35.0,808.0,7.6,14.3,27.6,21.3,85.0,195.0,281.0,193.0,"(-1, 5]",1
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",41.0,15.0,514.0,10.4,12.3,20.7,16.7,48.0,83.0,133.0,117.0,"(-1, 5]",2
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",35.0,6.0,337.0,6.6,13.4,22.1,17.5,39.0,57.0,103.0,62.0,"(5, 11]",2
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",13.0,1.0,92.0,2.4,4.1,10.6,8.7,5.0,12.0,14.0,20.0,"(-1, 5]",1
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",9.0,4.0,18.0,-2.3,5.5,20.1,9.3,0.0,0.0,4.0,0.0,"(-1, 5]",1
"(179, 191]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",26.0,3.0,234.0,16.1,2.6,10.3,4.7,3.0,14.0,19.0,113.0,"(-1, 5]",1
"(179, 191]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",34.0,0.0,632.0,11.0,1.4,6.2,4.0,9.0,42.0,51.0,202.0,"(-1, 5]",3
