height,weight,collage,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury,total_years
"(191, 203]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(23, 29]",22.0,0.0,163.0,8.4,5.4,20.9,12.8,8.0,28.0,36.0,48.0,"(-1, 5]",1,"(-1, 2]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",56.0,2.0,865.0,14.0,1.5,9.7,5.6,12.0,76.0,88.0,410.0,"(-1, 5]",1,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",50.0,0.0,795.0,10.7,2.3,7.8,5.0,16.0,56.0,72.0,323.0,"(-1, 5]",1,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",44.0,1.0,568.0,11.5,2.6,9.4,6.0,13.0,48.0,61.0,172.0,"(-1, 5]",2,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",57.0,22.0,1278.0,12.4,1.7,8.2,4.9,20.0,94.0,114.0,441.0,"(-1, 5]",3,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",28.0,0.0,99.0,9.7,1.1,10.2,5.5,1.0,9.0,10.0,44.0,"(-1, 5]",1,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",26.0,0.0,324.0,12.0,2.1,8.9,5.6,6.0,26.0,32.0,133.0,"(-1, 5]",1,"(2, 5]"
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",82.0,82.0,2919.0,16.0,2.0,6.6,4.2,54.0,161.0,215.0,1604.0,"(-1, 5]",1,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",59.0,12.0,1284.0,13.1,1.8,5.2,3.5,20.0,58.0,78.0,634.0,"(-1, 5]",1,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",46.0,20.0,959.0,12.1,1.4,8.1,4.7,12.0,66.0,78.0,366.0,"(-1, 5]",2,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",43.0,0.0,716.0,11.9,3.8,5.7,4.8,23.0,39.0,62.0,299.0,"(5, 11]",2,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",82.0,21.0,1885.0,14.4,1.9,7.5,4.8,32.0,134.0,166.0,954.0,"(5, 11]",1,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",69.0,0.0,1108.0,11.8,2.0,7.5,4.8,21.0,80.0,101.0,491.0,"(5, 11]",2,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",65.0,0.0,894.0,9.5,2.3,6.3,4.3,18.0,51.0,69.0,322.0,"(5, 11]",2,"(8, 11]"
"(203, 215]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",47.0,8.0,797.0,11.4,6.4,17.8,12.0,46.0,123.0,169.0,243.0,"(-1, 5]",2,"(2, 5]"
"(203, 215]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",78.0,37.0,1863.0,17.0,9.0,21.3,15.1,154.0,353.0,507.0,719.0,"(-1, 5]",2,"(2, 5]"
"(203, 215]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",80.0,72.0,2298.0,14.4,5.3,14.1,9.6,116.0,289.0,405.0,1019.0,"(-1, 5]",2,"(2, 5]"
