height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
198,99,*,1993,*,*,*,*,2017,24,20.0,0.0,163.0,14.0,8.9,23.4,13.5,10.0,17.0,37.0,50.0,0,1
213,124,*,1986,*,*,*,*,2010,23,60.0,1.0,872.0,14.2,1.0,6.8,4.1,14.0,78.0,84.0,417.0,0,1
213,124,*,1986,*,*,*,*,2011,24,46.0,0.0,794.0,13.5,0.0,7.8,2.0,14.0,52.0,71.0,324.0,1,1
213,124,*,1986,*,*,*,*,2012,25,44.0,0.0,568.0,8.9,3.1,14.5,6.7,17.0,49.0,58.0,170.0,2,2
213,124,*,1986,*,*,*,*,2013,26,60.0,19.0,1288.0,11.5,4.1,8.1,6.9,22.0,93.0,116.0,442.0,3,3
213,124,*,1986,*,*,*,*,2014,27,32.0,0.0,99.0,12.4,0.0,10.6,3.0,2.0,11.0,12.0,42.0,4,1
213,124,*,1986,*,*,*,*,2015,28,25.0,0.0,323.0,10.5,1.8,8.2,7.7,6.0,22.0,37.0,130.0,5,1
183,73,*,1985,*,*,*,*,2010,25,84.0,83.0,2913.0,15.2,6.1,1.6,6.5,55.0,163.0,214.0,1604.0,2,1
183,73,*,1985,*,*,*,*,2011,26,60.0,10.0,1283.0,13.5,2.3,4.4,2.5,20.0,57.0,79.0,633.0,3,1
183,73,*,1985,*,*,*,*,2013,28,44.0,18.0,960.0,15.8,0.1,7.6,5.4,11.0,67.0,74.0,366.0,5,2
183,73,*,1985,*,*,*,*,2014,29,41.0,2.0,719.0,12.9,3.8,3.1,7.1,25.0,42.0,62.0,299.0,6,2
183,73,*,1985,*,*,*,*,2015,30,81.0,21.0,1887.0,15.8,2.6,6.2,9.7,32.0,132.0,168.0,950.0,7,1
183,73,*,1985,*,*,*,*,2016,31,68.0,1.0,1108.0,9.0,3.2,2.7,5.5,22.0,79.0,102.0,490.0,8,2
183,73,*,1985,*,*,*,*,2017,32,65.0,3.0,901.0,8.7,1.6,6.0,4.0,24.0,52.0,68.0,323.0,9,2
206,99,*,1995,*,*,*,*,2015,19,53.0,6.0,800.0,10.6,11.5,20.1,13.6,47.0,119.0,169.0,243.0,0,2
206,99,*,1995,*,*,*,*,2016,20,79.0,35.0,1862.0,17.2,9.7,23.1,16.6,154.0,352.0,508.0,718.0,1,2
206,99,*,1995,*,*,*,*,2017,21,81.0,72.0,2297.0,16.3,4.7,11.8,10.1,120.0,285.0,407.0,1019.0,2,2
213,122,*,1984,*,*,*,*,2010,25,33.0,1.0,308.0,17.0,17.8,25.7,19.4,38.0,64.0,97.0,104.0,2,1
213,122,*,1984,*,*,*,*,2011,26,41.0,6.0,528.0,6.3,12.4,25.5,16.1,62.0,112.0,171.0,128.0,3,1
213,122,*,1984,*,*,*,*,2012,27,47.0,40.0,814.0,11.1,11.7,30.8,19.4,85.0,201.0,281.0,186.0,4,1
213,122,*,1984,*,*,*,*,2013,28,38.0,17.0,511.0,16.3,8.3,25.2,21.9,48.0,85.0,138.0,122.0,5,2
213,122,*,1984,*,*,*,*,2014,29,30.0,5.0,336.0,10.6,11.1,19.0,23.3,33.0,62.0,107.0,60.0,6,2
198,95,*,1994,*,*,*,*,2016,21,27.0,1.0,95.0,2.9,6.1,18.3,10.1,3.0,13.0,15.0,19.0,0,1
198,95,*,1994,*,*,*,*,2017,22,8.0,1.0,14.0,-3.1,4.9,18.7,9.7,0.0,1.0,3.0,0.0,1,1
